species,YEAR,MAX_SPEED
Archilochus alexandri,2008,32.53221324855651
Archilochus alexandri,2009,25.454905366593916
Archilochus alexandri,2010,42.252458620374426
Archilochus alexandri,2011,37.89985009180094
Archilochus alexandri,2012,48.00416981731013
Archilochus alexandri,2013,40.864992345930936
Archilochus alexandri,2014,28.482875677641
Archilochus alexandri,2015,63.408817569400256
Archilochus alexandri,2016,30.65646678116894
Archilochus alexandri,2017,57.09071689272163
Archilochus alexandri,2018,65.8493566754069
Archilochus alexandri,2019,30.914183980017835
Archilochus colubris,2008,65.79522250679905
Archilochus colubris,2009,31.26962323606985
Archilochus colubris,2010,36.36682329980967
Archilochus colubris,2011,34.31384604139872
Archilochus colubris,2012,32.789989850964375
Archilochus colubris,2013,37.16801854994244
Archilochus colubris,2014,43.170682801409356
Archilochus colubris,2015,42.8977716874292
Archilochus colubris,2016,40.63263597003706
Archilochus colubris,2017,45.16952525754476
Archilochus colubris,2018,46.251160765309514
Archilochus colubris,2019,36.541920247607834
Selasphorus calliope,2008,101.74714978831275
Selasphorus calliope,2009,47.17923323222247
Selasphorus calliope,2010,51.486558292633944
Selasphorus calliope,2011,57.925585162200484
Selasphorus calliope,2012,49.12167398956183
Selasphorus calliope,2013,49.55427441105538
Selasphorus calliope,2014,66.60356359896583
Selasphorus calliope,2015,87.13709918291873
Selasphorus calliope,2016,104.1368822536863
Selasphorus calliope,2017,81.4326519739564
Selasphorus calliope,2018,72.79807179272083
Selasphorus calliope,2019,72.67981571541789
Selasphorus platycercus,2008,22.171207634473
Selasphorus platycercus,2009,25.89855093855324
Selasphorus platycercus,2010,27.092232231970204
Selasphorus platycercus,2011,37.27490652094256
Selasphorus platycercus,2012,24.049167846240916
Selasphorus platycercus,2013,35.6791182814103
Selasphorus platycercus,2014,37.240128225213155
Selasphorus platycercus,2015,31.208338559363813
Selasphorus platycercus,2016,15.983516926471909
Selasphorus platycercus,2017,30.29397358863749
Selasphorus platycercus,2018,22.354464909966502
Selasphorus platycercus,2019,17.69650488203693
Selasphorus rufus,2008,41.57071465547256
Selasphorus rufus,2009,38.30384146214473
Selasphorus rufus,2010,46.936498487266604
Selasphorus rufus,2011,56.5720086582845
Selasphorus rufus,2012,58.96905502575802
Selasphorus rufus,2013,34.85670443516254
Selasphorus rufus,2014,41.91858241484149
Selasphorus rufus,2015,48.605444898905176
Selasphorus rufus,2016,71.19564032347702
Selasphorus rufus,2017,66.13262811070317
Selasphorus rufus,2018,36.93400819715292
Selasphorus rufus,2019,42.774779555364084
